Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_band_gap
(PEI); MA,2; 6,Pb,7,I,22,1.7
(PEI); MA,2; 4,Pb,5,I,16,1.8
Cs; FA; MA,0.15; 0.55; 0.3,Pb,1,Br; I,0.6; 2.4,1.68
(PEI); MA,2; 2,Pb,2,I,10,1.95
(PEI); MA,2; 6,Pb,7,I,22,1.7
(PEI); MA,2; 4,Pb,5,I,16,1.8
Cs; FA; MA,0.05; 0.76; 0.19,Pb,1,Br; I,0.6; 2.4,1.67
MA,1,Pb,1,I,3,1.65
(PEI); MA,2; 2,Pb,2,I,10,1.95
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.67
MA,1,Pb,1,I,3,1.55
Cs; FA; MA,0.15; 0.71; 0.14,Pb,1,Br; I,0.9; 2.1,1.7
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.63
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.45; 2.55,1.6
MA,1,Pb,1,I,3,1.6
FA; MA,0.66; 0.34,Sn,1,I,3,1.45
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.87; 2.13,1.72
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.4; 0.6,1.74
FA; MA,0.66; 0.34,Pb; Sn,0.5; 0.5,I,3,1.26
MA,1,Pb,1,I,3,1.5
Cs; FA,0.2; 0.8,Pb,1,Br; Cl; I,0.45; 0.09; 2.46,1.66
MA,1,Pb; Sb,0.98; 0.02,I,3,1.5
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.3; 0.7,1.74
MA | (EU-pyP),1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.6
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.15; 0.85,1.65
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.2; 0.8,1.69
Cs; FA; MA,0.1; 0.2; 0.7,Pb,1,Br; I,0.1; 0.9,1.63
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.4; 0.6,1.78
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.6; 0.4,1.93
Cs; FA,0.2; 0.8,Pb,1,Br,1,2.28
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.8; 0.2,2.08
Cs; FA,0.2; 0.8,Pb,1,I,1,1.57
Cs,1,Sn,1,I,1,1.27
FA; MA,0.66; 0.34,Pb; Sn,0.5; 0.5,I,1,1.23
(PEA); MA,2; 1,Pb,1,I,4,1.6
(PEA); MA,2; 1,Pb,1,I,4,1.57
FA,1,Pb,1,I,3,1.48
(4ApyH),1,Bi; Sb,0.2; 0.8,I,4,2.12
(4ApyH),1,Sb,1,I,4,2.2
FA; MA,0.7; 0.3,Pb; Sn,0.5; 0.5,I,3,1.25
FA; MA,0.4; 0.6,Pb; Sn,0.4; 0.6,I,3,1.3
FA; MA,0.6; 0.4,Pb; Sn,0.6; 0.4,I,3,1.25
FA; MA,0.8; 0.2,Pb; Sn,0.8; 0.2,I,3,1.27
Cs,2,Pt,1,I,6,1.37
FA; MA,0.83; 0.17,Pb,1,Br; I,0.03; 2.97,1.6
MA,1,Pb,1,I,3,1.59
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.23
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.54
Cs,1,Pb,1,Br; I,1; 2,2.05
Cs,1,Pb,1,I,3,1.75
Cs,1,Pb,1,I,3,1.79
Cs,1,Pb,1,I,3,2.93
FA,1,Pb; Sn,0.5; 0.5,I,3,1.28
Cs,1,Pb,1,I,3,2.92
Cs; FA,0.22; 0.78,Pb,1,Br; I,0.15; 0.85,1.67
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.3; 0.7,1.68
Cs; FA,0.4; 0.6,Pb,1,Br; I,0.24; 0.75,1.8
FA; MA,0.9; 0.1,Pb,1,Br; I,0.03; 2.97,1.581
Cs; FA; MA,0.05; 0.85; 0.1,Pb,1,Br; I,0.03; 2.97,1.598
Cs; FA; MA,0.10; 0.81; 0.09,Pb,1,Br; I,0.03; 2.97,1.6
Cs; FA; MA,0.15; 0.76; 0.09,Pb,1,Br; I,0.03; 2.97,1.599
Cs; FA; MA,0.2; 0.72; 0.08,Pb,1,Br; I,0.03; 2.97,1.62
Cs; FA,0.22; 0.78,Pb,1,Br; I,0.45; 2.55,1.68
FA; MA,0.1; 0.96,Pb,1,Br; I,1; 2,1.72
Cs,1,Pb,1,Br; I,1; 2,1.8-2.3
Cs; FA,0.2; 0.8,Pb,1 | 1,Br; I,0.3; 2.7,1.83
FA,1,Pb,1,I,3,1.52
Cs; FA; MA,0.12; 0.5; 0.38,Pb,1,Br; I,0.96; 2.04,1.72
Cs,1,Pb,1,Br; I,0.33; 0.66,1.92
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.3; 0.7,1.73
Cs; MA,0.1; 0.9,Pb,1,Br; I,0.4; 0.6,1.82
Cs; FA,0.8; 0.2,Pb,1.0,Br; I,0.9; 2.1,1.73
Cs; FA,0.8; 0.2,Pb,1.0,Br; I,0.9; 2.1,1.74
MA,1,Pb,1.0,I,3,1.6
MA,1,Pb,1.0,Br; Cl,1.5; 1.5,2.65
MA,1,Pb,1.0,Cl,3,3.05
FA; MA,0.83; 0.17,Pb,1,Br; I,0.51; 2.49,1.64
FA; MA,0.83; 0.17,Pb,1,Br; I,0.33; 2.67,1.59
Cs; FA,0.35; 0.65,Pb,1.0,Br; I,0.27; 0.73,1.75
Cs; FA,0.39; 0.61,Pb,1.0,Br; I,0.3; 0.70,1.77
Cs,1,Pb,1,Br; I,1; 2,1.92
MA,1,Pb,1,I,3,1.599
MA,1,Pb,1,I,3,1.594
MA,1,Pb,1,I,3,1.591
Cs; FA; MA,0.08; 0.78; 0.14,Pb,1,Br; I,0.42; 2.38,1.61
FA; MA,0.7; 0.3,Pb; Sn,0.5; 0.5,I,3,1.26
MA,1,Pb; Sn,0.75; 0.25,I,3,1.3
MA,1,Pb,1,Br; I,0.25; 0.75,1.73
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.4; 0.6,1.73
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.3; 0.7,1.72
Cs; FA; MA; Rb,0.05; 0.83; 0.17; 0.05;,Pb,1,Br; I,0.17; 0.83,1.63
Cs; FA; MA; Rb,0.05; 0.75; 0.25; 0.05;,Pb,1,Br; I,0.25; 0.75,1.68
MA,1,Pb,1,Br; I,0.18; 0.82,1.66
MA,1,Pb,1,Br; I,0.28; 0.72,1.7
Cs; FA | FPEAI,0.2; 0.8,Pb | Pb,1,Br; I,0.9; 2.1,1.74
Cs; FA; MA,0.1; 0.75; 0.15,Pb | Pb,1,Br; I,1; 2,1.74
EDA; GA; FA,0.01; 0.06; 0.74,Sn,1,Br; I,1; 2,1.62
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.13; 2.87,1.645
Cs; FA; MA; Rb,0.1; 0.75; 0.15; 0.05,Pb,1,I,1,1.72
MA,1,Pb,1,Br; I,0.4; 0.6,1.81
FA; MA,0.05; 0.95,Pb,1,Br; I,0.4; 0.6,1.81
FA; MA,0.1; 0.9,Pb,1,Br; I,0.4; 0.6,1.81
FA; MA,0.2; 0.9,Pb,1,Br; I,0.4; 0.6,1.81
Cs; FA; MA; PEA,0.15; 0.65; 0.18; 0.02,Pb,1,Br; I; SCN,0.2; 0.785; 0.015,1.68
Cs; FA; MA; nan,0.1; 0.75; 0.15,Pb,1,Br; I,0.33; 0.66,1.73
Cs; FA; MA,0.1; 0.6; 0.4,Pb,1,Br; I,0.4; 0.6,1.75
Cs,1,Pb,1.0,Br; I,2; 1,2.05
MA,1,Pb,1.0,Br,3,2.3
MA,1,Pb,1.0,Br; Cl,2; 1,2.52
MA,1,Pb,1.0,Br; Cl,1; 2,2.75
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1.0,Br; I,1.2; 1.8,1.79
Cs; FA; MA; Rb,0.0475; 0.75; 0.152; 0.05,Pb,1.0,Br; I,1.2; 1.8,1.78
Cs; FA; MA; Rb,0.045; 0.711; 0.144; 0.1,Pb,1.0,Br; I,1.2; 1.8,1.78
Cs; FA,0.29; 0.71,Pb,1.0,Br; I,0.24; 0.76,1.73
Cs; FA,0.26; 0.74,Pb,1.0,Br; I,0.14; 0.86,1.7
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.5; 0.5,1.85
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.4; 0.6,1.79
FA,1,Pb,1,I,3,1.59
Cs; FA,0.4; 0.6,Pb,1,Br; I,0.9; 2.1,1.76
MA,1,Pb,1,Br,3,2.3
Cs,1,Pb,1,Br; I,1; 2,1.9
MA,1,Sn,1,I,3,1.25
MA,1,Sn,1,I,3,1.4
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.5
(C6H4NH2),1,Cu,1,Br; I,2; 1,1.65
(C6H4NH2),1,Cu,1,Cl; I,2; 1,2.01
FA; MA,0.1; 0.9,Pb; Sn,0.9; 0.1,I,3,1.44
FA; MA,0.25; 0.75,Pb; Sn,0.75; 0.25,I,3,1.33
FA; MA,0.33; 0.66,Pb; Sn,0.66; 0.33,I,3,1.3
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.25
Cs; (DMA); MA,0.15; 0.85; 0.15,Pb,1,I,3,1.67
Cs,1,Pb,1,I,3,1.73
MA,2,Cu,1,Br; Cl,2; 2,2.12
MA,2,Cu,1,Br; Cl,3.5; 0.5,1.8
MA,1,Pb,1,I,3,1.58
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.62
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.612
Cs; FA; MA,0.1; 0.765; 0.135,Pb,1,Br; I,0.45; 2.55,1.611
MA,1,Pb,1,I,3,1.57
MA,1,Pb,1,I,3,1.61
MA,1,Pb,1,I,3,1.623
MA,1,Pb,1,I,3,1.624
MA,1,Pb,1,I,3,1.626
MA,1,Pb,1,I,3,1.627
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.585
MA,1,Pb,1,I,3,1.585
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.61
FA; MA,0.85; 0.15,Pb,1,I,3,1.55
FA; MA,0.85; 0.15,Pb,1,I,3,1.56
Cs; FA; MA,0.07; 0.78; 0.15,Pb,1,Br; I,0.45; 2.55,1.61
MA,1,Pb,1,Br; I,0.3; 2.7,1.63
MA,1,Pb,1,Br; I,0.45; 2.55,1.68
MA,1,Pb,1,Br; I,0.6; 2.4,1.71
MA,1,Pb,1,Br; I,0.75; 2.25,1.73
MA,1,Pb,1,Br; I,0.9; 2.1,1.75
MA,1,Pb,1,I,3,1.54
FA,1,Pb,1,I,3,1.49
MA,1,Pb,1,I,3,1.62
Cs; FA; MA,0.05; 0.65; 0.3,Pb,1,Br; I,0.15; 2.85,1.55
Cs; FA,0.05; 0.95,Pb,1,Br; I,0.15; 2.85,1.55
Cs,3,Bi,2,I,9,1.8
FA; MA,0.1; 0.9,Pb,1,I,3,1.51
MA,1,Pb,1,I,3,1.56
MA,1,Pb,1,Br; I,0.05; 2.95,1.57
MA,1,Pb,1,Br; I,0.1; 2.9,1.59
MA,1,Pb,1,Br; I,0.15; 2.85,1.6
MA,1,Pb,1,Br; I,0.2; 2.8,1.62
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.57
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.68
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.58
FA; MA,0.9; 0.1,Pb,1,Br; I,0.1; 2.9,1.59
MA,1,Pb,1,I,3,1.636
MA,1,Pb; Sr,0.95; 0.05,I,3,1.632
MA,1,Pb; Sr,0.9; 0.1,I,3,1.63
MA,1,Pb; Sr,0.8; 0.2,I,3,1.628
Cs,2,Pb,1,(SCN); I,2,1.68
Cs; FA; MA,0.06; 79; 0.15,Pb,1,Br; I,0.45; 2.55,1.64
Cs; FA,0.07; 0.93,Pb,1,I,3,1.53
Cs; FA; GU,0.07; 0.89; 0.02,Pb,1,I,3,1.53
MA,3,Sb,2,I,9,2.44
MA,3,Sb,2,I,9,2.17
BA; Cs; FA,2; 0.15; 0.85,Pb; Sn,1.2; 0.8,I,7,1.27
BA; Cs; FA,2; 0.3; 1.7,Pb; Sn,1.8; 1.2,I,10,1.25
BA; Cs; FA,2; 0.45; 2.55,Pb; Sn,2.4; 1.8,I,14,1.24
BA; Cs; FA,2; 0.6; 3.4,Pb; Sn,3; 2.4,I,17,1.24
BA; Cs; FA,2; 1.2; 7.65,Pb; Sn,4.8; 3.6,I,28,1.23
Cs,1,Pb,1,Br,3,2.3
FA; MA,1; 1,Pb,1,Br; I,1; 1,2.43
FA; MA,1; 1,Pb,1,Br; I,1; 1,2.19
FA; MA,1; 1,Pb,1,Br; I,1; 1,1.95
FA; MA,1; 1,Pb,1,Br; I,1; 1,1.59
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.58
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.56
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.6
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.55
Cs,1,Pb,1,I,3,2.24
Cs,1,Pb,2,Br,5,2.58
(PDMA); FA,1; 2,Pb,3,I,10,1.53
(PDMA); FA,1; 2,Pb,23,I,7,1.53
(PDMA); FA,1; 3,Pb,4,I,13,1.53
(PDMA); FA,1; 2,Pb,3,I,10,2.42
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.62
MA,1,Pb,1,Br; I,0.02; 2.98,1.6
FA,1,Pb,1,Br,3,2.27
FA,1,Pb,1,Br; Cl,2.67; 0.33,2.3
FA,1,Pb,1,Br; Cl,2.43; 0.57,2.36
FA,1,Pb,1,Br; Cl,2.25; 0.75,2.39
FA,1,Pb,1,Br; Cl,2.1; 0.9,2.44
FA,1,Pb,1,Br; Cl,2; 1,2.48
IM,1,Pb,1,I,3,2.92
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.67
MA,1,Sn,1,Cl,3,2.5
MA,1,Sn,1,Cl,3,2.1
Cs; FA; MA,0.04; 0.8; 0.16,Pb,1,Br; I,0.49; 2.51,1.61
Cs; FA; MA,0.04; 0.8; 0.16,Pb,1,Br; I,0.49; 2.51,1.62
BA; MA,2; 2,Pb,3,I,10,1.96
FA; MA,0.88; 0.12,Pb,1,I,3,1.53
BA; MA,2; 3,Pb,4,I,13,1.62
BA; Cs; MA,2; 0.15; 2.85,Pb,4,I,13,1.63
(3AMP); MA,1; 3,Pb,4,I,13,1.87
(3AMP); MA,1; 2,Pb,3,I,10,1.92
(4AMP); MA,1; 2,Pb,3,I,10,1.99
(4AMP); MA,1; 3,Pb,4,I,13,1.89
FA; MA,0.83; 0.17,Pb,1,Br; I,0.49; 2.51,1.63
Cs; FA; MA,0.1; 0.75; 0.15,Pb,1,Br; I,0.45; 2.55,1.63
Cs; FA,0.4; 0.6,Pb,1,Br; I,0.095; 0.905,1.61
Cs; FA; MA,0.3; 0.6; 0.1,Pb,1,Br; I,0.095; 0.905,1.65
Cs; FA; MA,0.2; 0.6; 0.2,Pb,1,Br; I,0.095; 0.905,1.64
Cs; FA; MA,0.1; 0.6; 0.3,Pb,1,Br; I,0.095; 0.905,1.64
FA; MA,0.6; 0.4,Pb,1,Br; I,0.095; 0.905,1.64
Cs; FA,0.3; 0.7,Pb,1,Br; I,0.095; 0.905,1.63
Cs; FA; MA,0.2668; 0.666; 0.0664,Pb,1,Br; I,0.095; 0.905,1.65
Cs; FA; MA,0.0664; 0.666; 0.2668,Pb,1,Br; I,0.095; 0.905,1.63
FA; MA,0.7; 0.3,Pb,1,Br; I,0.095; 0.905,1.63
Cs; FA; MA,0.133; 0.733; 0.133,Pb,1,Br; I,0.095; 0.905,1.65
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.095; 0.905,1.65
Cs; FA; MA,0.0664; 0.8668; 0.0664,Pb,1,Br; I,0.095; 0.905,1.63
FA; MA,0.8; 0.2,Pb,1,Br; I,0.095; 0.905,1.61
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.095; 0.905,1.56
FA; MA,0.9; 0.1,Pb,1,Br; I,0.095; 0.905,1.61
FA,1,Pb,1,Br; I,0.095; 0.905,1.59
Cs; FA,0.4; 0.6,Pb,1,Br; I,0.256; 0.744,1.65
Cs; FA; MA,0.3; 0.6; 0.1,Pb,1,Br; I,0.256; 0.744,1.72
Cs; FA; MA,0.2; 0.6; 0.2,Pb,1,Br; I,0.256; 0.744,1.7
Cs; FA; MA,0.1; 0.6; 0.3,Pb,1,Br; I,0.256; 0.744,1.7
FA; MA,0.6; 0.4,Pb,1,Br; I,0.256; 0.744,1.72
Cs; FA,0.3; 0.7,Pb,1,Br; I,0.256; 0.744,1.72
Cs; FA; MA,0.2668; 0.666; 0.0664,Pb,1,Br; I,0.256; 0.744,1.71
Cs; FA; MA,0.0664; 0.666; 0.2668,Pb,1,Br; I,0.256; 0.744,1.71
FA; MA,0.7; 0.3,Pb,1,Br; I,0.256; 0.744,1.71
Cs; FA; MA,0.133; 0.733; 0.133,Pb,1,Br; I,0.256; 0.744,1.71
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.256; 0.744,1.71
Cs; FA; MA,0.0664; 0.8668; 0.0664,Pb,1,Br; I,0.256; 0.744,1.7
FA; MA,0.8; 0.2,Pb,1,Br; I,0.256; 0.744,1.72
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.256; 0.744,1.72
FA; MA,0.9; 0.1,Pb,1,Br; I,0.256; 0.744,1.7
FA,1,Pb,1,Br; I,0.256; 0.744,1.7
Cs; FA; MA,0.05; 0.8; 0.15,Pb,1,Br; I,0.45; 2.55,1.6
MA,1,Pb,1,Br; I,1; 2,1.775
MA,1,Pb; Sn,0.95; 0.05,I,3,1.5
MA,1,Pb; Sn,0.85; 0.15,I,3,1.51
MA,1,Pb; Sn,0.9; 0.1,I,3,1.5
MA,1,Pb; Sn,0.9; 0.1,I,3,1.52
FA,1,Sn,1,I,3,1.3
FA,1,Sn,1,I,3,1.36
(PyrEA),1,Pb,1,I,4,2.48
(ImEA),1,Pb,1,I,4,2.54
(PEA),2,Pb,1,I,4,2.58
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.48; 2.52,1.55
Cs,1,Pb,1,Br; I,1; 2,1.82
FA; MA,0.1; 0.9,Pb,1,I,3,1.569
FA; MA,0.1; 0.9,Pb,1,I,3,1.565
FA; MA,0.1; 0.9,Pb,1,I,3,1.575
FA; MA,0.1; 0.9,Pb,1,I,3,1.557
FA; MA,0.1; 0.9,Pb,1,I,3,1.549
MA,1,Pb,1,Br; I,0.6; 2.4,1.68
Cs,1,Pb,1,Br; I,2; 1,2.1
Cs; FA; MA,0.05; 0.83; 0.17,Pb,1,I,3,1.56
Cs; FA; MA | NMABr,0.05; 0.79; 0.16 | 1,Pb | Pb,1 | 1,I | I; Br,3 |,1.56
BA; FA,2; 3,Sn,4,I,13,1.43
FA; OA,3; 2,Sn,4,I,13,1.43
DA; FA,2; 3,Sn,4,I,13,1.43
Cs,1,Pb,1,Br; I,1; 2,1.93
MA,1,Pb; Sn,0.75; 0.25,I,3,1.55
(ThFA); MA,2; 2,Pb,2,I,7,1.6
Cs,1,Pb,1,Br; I,1; 2,1.88
Cs; FA; MA,0.05; 0.07; 0.25,Pb,1,I,3,1.51
Cs,1,Pb,1,Br; I,1; 2,1.89
FA; MA,0.4; 0.6,Pb,1,Br; I,0.2; 2.8,1.58
Cs; FA,0.17; 0.83,Pb,1,I,3,1.51
Cs; FA,0.17; 0.83,Pb; Sn,0.99999; 0.00001,I,3,1.51
Cs; FA,0.17; 0.83,Pb; Sn,0.9999; 0.0001,I,3,1.52
Cs; FA,0.17; 0.83,Pb; Sn,0.999; 0.001,I,3,1.51
Cs; FA,0.17; 0.83,Pb; Sn,0.995; 0.005,I,3,1.52
Cs; FA,0.17; 0.83,Pb; Sn,0.99; 0.01,I,3,1.52
Cs; FA,0.17; 0.83,Pb; Sn,0.98; 0.02,I,3,1.51
Cs; FA,0.17; 0.83,Pb; Sn,0.95; 0.05,I,3,1.52
Cs; FA,0.17; 0.83,Pb; Sn,0.9; 0.1,I,3,1.47
Cs; FA,0.17; 0.83,Pb; Sn,0.8; 0.2,I,3,1.36
Cs; FA,0.17; 0.83,Pb; Sn,0.7; 0.3,I,3,1.32
Cs; FA,0.17; 0.83,Pb; Sn,0.6; 0.4,I,3,1.28
Cs; FA,0.17; 0.83,Pb; Sn,0.5; 0.5,I,3,1.26
Cs; FA,0.17; 0.83,Pb; Sn,0.4; 0.6,I,3,1.25
Cs; FA,0.17; 0.83,Pb; Sn,0.3; 0.7,I,3,1.25
Cs; FA,0.17; 0.83,Pb,1,I,3,1.55
Cs; FA,0.17; 0.83,Pb; Sn,0.99999; 0.00001,I,3,1.58
Cs; FA,0.17; 0.83,Pb; Sn,0.9999; 0.0001,I,3,1.55
Cs; FA,0.17; 0.83,Pb; Sn,0.999; 0.001,I,3,1.55
Cs; FA,0.17; 0.83,Pb; Sn,0.995; 0.005,I,3,1.54
Cs; FA,0.17; 0.83,Pb; Sn,0.95; 0.05,I,3,1.45
Cs; FA,0.17; 0.83,Pb; Sn,0.9; 0.1,I,3,1.41
Cs; FA,0.17; 0.83,Pb; Sn,0.8; 0.2,I,3,1.34
Cs; FA,0.17; 0.83,Pb; Sn,0.7; 0.3,I,3,1.3
Cs; FA,0.17; 0.83,Pb; Sn,0.6; 0.4,I,3,1.27
Cs; FA,0.17; 0.83,Pb; Sn,0.7; 0.3,I,3,1.33
Cs,1,Pb,1,Br; I,1; 2,1.906
Cs,1,La; Pb,0.02; 0.98,Br; I,1; 2,1.919
Cs; FA; MA | (CH3)3S,0.05; 0.79; 0.16 | 1,Pb | Pb,1 | 1,Br; I | I,0.51; 2.49 | 3,1.63 | nan
FA; MA,0.9; 0.1,Pb,1,I,3,1.525
FA,1,Pb,1,I,3,1.5
Cs; FA,0.15; 0.85,Pb,1,I,3,1.54
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.59
FA; MA,0.9; 0.1,Pb,1,I,3,1.55
Ag,3,Bi,2,I,9,1.86
Cs; Ag,0.15; 3,Bi,3,I,9,1.86
Cs,3,Bi,2,I,9,2.2
Ag,1,Bi,1,I,4,1.86
Ag,2,Bi,1,I,5,1.86
Ag,3,Bi,1,I,6,1.86
Ag,1,Bi,2,I,7,1.86
Cs; Ag,0.15; 1,Bi,3,I,8.5,1.86
Ag,0.15; 2,Bi,3,I,9.5,1.86
Ag,0.15; 3,Bi,3,I,10.5,1.86
Ag,0.15; 1,Bi,4,I,11.5,1.86
Cs; FA; MA,0.05; 0.81; 14,Pb,1,Br; I,0.45; 2.55,1.59
Cs,1,Pb,1,I,3,1.8
FA,1,Pb,1,I,3,1.47
Cs; FA; MA | Cs,0.05; 0.81; 0.14 | 1,Pb | Pb,1 | 1,Br; I | Br; I,0.45; 2.55 | 1.85; 1.15,1.58 | 2.08
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.58
MA,1,Pb,1,I,3,1.53
Cs; FA,0.88; 0.12,Pb,1,I,3,1.51
Cs; FA | Cs; FA,0.88; 0.12 | 0.88; 0.12,Pb | Pb,1 | 1,I | I; (PF6),3 | x; x,1.5
Cs,1,Pb,1,Br; I,1; 2,1.87
Cs,1,Pb,1,Br; F; I,1; 1.88; 0.12,1.85
Cs,1,Pb,1,Br; F; I,1; 1.78; 0.22,1.85
Cs,1,Pb,1,Br; F; I,1; 1.72; 0.28,1.85
Cs,1,Pb,1,Br; F; I,1; 0.12; 1.88,1.85
Cs,1,Pb,1,Br; F; I,1; 0.22; 1.78,1.85
Cs,1,Pb,1,Br; F; I,1; 0.28; 1.72,1.85
MA,1,Sn,1,F; I,0.4; 2.6,1.85
FA,1,Pb,1,I,3,1.51
(PEA); Cs,2; 9,Pb,10,I,34,1.73
(PEA); Cs,2; 39,Pb,40,I,121,1.73
(PEA); Cs,2; 59,Pb,60,I,181,1.73
(PEA); Cs,2; 79,Pb,80,I,241,1.73
(PEA); Cs,2; 99,Pb,100,I,301,1.73
Cs; FA; MA,0.03; 0.77; 0.2,Pb,1,Br; I,0.46; 2.54,1.5
MA,1,Pb; Sb,0.97; 0.03,Br; I,2.94; 0.09,1.59
FA; MA,0.05; 0.95,Pb,1,I,3,1.5
Cs,1,Pb,1,Br,3,2.26
Cs,1,Pb,1,I,3,1.7
(PEA); Cs,2; 39,Pb,40,I,121,1.71
(PEA); Cs,2; 7,Pb,8,I,25,1.76
(PEA),2,Pb,2,I,4,2.28
FA; MA,0.8; 0.2,Pb,1,Br; I,0.6; 2.40,1.5
MA,1,Pb,1,I,3,1.51
Cs; FA; GA,0.15; 0.8; 0.05,Pb,1,Br; I,0.45; 2.55,1.625
FA; MA,0.3; 0.7,Pb,1,I,3,1.6
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.51; 2.49,1.6
EA; MA,0.5; 0.5,Pb,1,Br,3,2.38
Cs; FA; MA,0.05; 0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.612
Cs; FA; MA,0.1; 0.85; 0.15,Pb,1,Br; I,0.45; 2.55,1.611
FA; MA,0.8; 0.2,Pb,1,Br; I,0.6; 2.4,1.61
FA,1,Sn,1,Br; I,1; 2,1.55
FA,1,Sn,1,I,3,1.4
(PEA); Cs; FA; MA,x; 0.15; 0.64; 0.2,Pb,1,Br; I,0.6; 2.4,1.68
Cs,1,Pb,1,Br; I,1; 2,1.91
(PEA); (F5PEA); Cs; FA; MA,x; x; 0.15; 0.64; 0.2,Pb,1,Br; I,0.6; 2.4,1.68
(F5PEA); Cs; FA; MA,x; 0.15; 0.64; 0.2,Pb,1,Br; I,0.6; 2.4,1.68
Cs,1,Pb,1,Br,3,2.33
MA,1,Pb,1,I,3,1.609
MA,1,Pb,1,I,3,1.614
MA,1,Pb,1,I,3,1.63
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.48; 2.52,1.63
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,I,3,1.54
FA,1,Pb,1,I,3,1.55
MA,2,Au,2,Br,6,1.38
FA,1,Sn,1,I,3,1.32
Cs; FA; MA,0.09; 0.58; 0.33,Pb,1,Br; I,0.65; 2.35,1.59
FA,1,Sn,1,I,3,1.41
MA,1,Sn,1,I,3,1.3
(ThMA); FA,2; 4,Pb,5,I,16,1.5
Cs,1,Pb,1,Br; I,1; 2,1.84
MA | (BEA),1 | 1,Pb | Pb,1 | 1,I | I,3 | 4,1.59
Cs,1,Pb,1,Br,3,2.32
Cs; FA; MA,0.06; 0.79; 0.15,Pb,1,Br; I,0.45; 2.55,1.61
Cs; Rb,0.99; 0.01,Pb,1,Br; I,1; 2,1.9
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.45; 2.55,1.61
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,I,3,1.61
Cs; FA; MA,0.05; 0.79; 0.16,Pb,1,Br; I,0.3; 2.7,1.57
Cs,1,Pb,1,I,3,1.69
Cs; FA; MA,0.05; 0.83; 0.12,Pb,1,Br; I,0.36; 2.64,1.61
